1|100201|1|3|4
2|100202|1|3|4
3|100203|1|3|4
4|100204|1|3|4
5|100205|1|3|4
6|100206|1|3|4
7|100207|1|3|4
8|100208|1|3|4
9|100209|1|3|4
10|100210|1|3|4
11|100231|1|5|6
12|100232|1|5|6
13|100233|1|5|6
14|100234|1|5|6
15|100235|1|5|6
16|100236|1|5|6
17|100237|1|5|6
18|100238|1|5|6
19|100239|1|5|6
20|100240|1|5|6
21|100211|2|3|4
22|100212|2|3|4
23|100213|2|3|4
24|100214|2|3|4
25|100215|2|3|4
26|100216|2|3|4
27|100217|2|3|4
28|100218|2|3|4
29|100219|2|3|4
30|100220|2|3|4
31|100221|2|5|6
32|100222|2|5|6
33|100223|2|5|6
34|100224|2|5|6
35|100225|2|5|6
36|100226|2|5|6
37|100227|2|5|6
38|100228|2|5|6
39|100229|2|5|6
40|100230|2|5|6
41|100221|3|3|4
42|100222|3|3|4
43|100223|3|3|4
44|100224|3|3|4
45|100225|3|3|4
46|100226|3|3|4
47|100227|3|3|4
48|100228|3|3|4
49|100229|3|3|4
50|100230|3|3|4
51|100211|3|5|6
52|100212|3|5|6
53|100213|3|5|6
54|100214|3|5|6
55|100215|3|5|6
56|100216|3|5|6
57|100217|3|5|6
58|100218|3|5|6
59|100219|3|5|6
60|100220|3|5|6
61|100231|4|3|4
62|100232|4|3|4
63|100233|4|3|4
64|100234|4|3|4
65|100235|4|3|4
66|100236|4|3|4
67|100237|4|3|4
68|100238|4|3|4
69|100239|4|3|4
70|100240|4|3|4
71|100201|4|5|6
72|100202|4|5|6
73|100203|4|5|6
74|100204|4|5|6
75|100205|4|5|6
76|100206|4|5|6
77|100207|4|5|6
78|100208|4|5|6
79|100209|4|5|6
80|100210|4|5|6
81|100101|1|9|11
82|100102|1|9|11
83|100103|1|9|11
84|100104|1|9|11
85|100105|1|9|11
86|100106|1|9|11
87|100107|1|9|11
88|100108|1|9|11
89|100109|1|9|11
90|100110|2|9|11
91|100111|2|9|11
92|100112|2|9|11
93|100113|2|9|11
94|100114|2|9|11
95|100115|2|9|11
96|100116|2|9|11
97|100117|2|9|11
98|100118|2|9|11
99|100119|2|9|11
100|100120|3|9|11
101|100121|3|9|11
102|100122|3|9|11
103|100123|3|9|11
104|100124|3|9|11
105|100125|3|9|11
106|100126|3|9|11
107|100127|3|9|11
108|100128|3|9|11
109|100129|3|9|11
110|100130|4|9|11
