1|1001|11101|7001|0|21001
2|1002|11102|7002|0|21002
3|1003|11103|7003|0|21003
4|1004|11104|7004|0|21004
5|1005|11105|7005|0|21005
6|1006|11106|7006|0|21006
7|1007|11107|7007|0|21007
8|1008|11108|7008|0|21008
9|1009|11109|7009|0|21009
10|1010|11110|7010|0|21010
11|100001|111001|17001|2|121001
12|100002|111002|17002|2|121001
13|100003|111003|17003|2|121001
14|100004|111004|17004|2|121001
15|100005|111005|17005|2|121001
16|100006|111006|17006|2|121001
17|100007|111007|17007|2|121001
18|100008|111008|17008|2|121001
19|100009|111009|17009|2|121001
20|100010|111010|17010|2|121001
21|100011|111011|17011|2|121001
22|100012|111012|17012|2|121001
23|100013|111013|17013|2|121001
24|100014|111014|17014|2|121001
